Timestamp,Type,Message_Snippet
2025-11-17 21:54:19,thumbs_up,Hello there! How can I assist you today?
2025-11-17 21:57:07,thumbs_up,"A rollback plan is necessary **to revert changes safely in case of failure, minimizing service disru"
2025-11-17 22:03:15,thumbs_up,The Change Advisory Board (CAB) is a group of stakeholders that reviews and approves changes based o
2025-11-18 19:45:14,thumbs_up,Hello! How can I help you with change management today?
2025-11-18 22:41:16,thumbs_down,Hello! How can I help you with change management today?
2025-11-18 22:57:50,thumbs_up,The **Change Management Workflow** outlines the lifecycle of a change within the organization. Here 
2025-11-23 20:12:07,thumbs_down,"I apologize, but I do not have information regarding the airspeed velocity of an unladen swallow in "
2025-11-23 20:12:52,thumbs_down,"I apologize, but I do not have information regarding the airspeed velocity of an unladen swallow in "
2025-11-23 20:36:59,thumbs_down,"I apologize, but I do not have information about the capital of Mars in my knowledge base. My purpos"
2025-11-23 20:40:01,thumbs_up,"I apologize, but I do not have information about the capital of Mars in my knowledge base. My purpos"
2025-11-23 20:40:03,thumbs_up,Hello! How can I help you with change management today?
2025-11-23 20:40:05,thumbs_up,Hello! How can I assist you today with change management?
2025-11-23 20:40:13,thumbs_up,Hello! How can I help you with change management today?
2025-11-23 20:40:15,thumbs_up,"I apologize, but I do not have information about the capital of Mars in my knowledge base. My purpos"
2025-11-23 20:40:16,thumbs_up,Hello! How can I assist you today with change management?
2025-11-23 20:40:18,thumbs_up,"I apologize, but I do not have information regarding the airspeed velocity of an unladen swallow in "
2025-11-23 20:40:27,thumbs_up,Hello! How can I help you with change management today?
2025-11-23 20:40:28,thumbs_up,Hello! How can I assist you today with change management?
2025-11-23 20:40:29,thumbs_up,"I apologize, but I do not have information about the capital of Mars in my knowledge base. My purpos"
2025-11-23 20:40:35,thumbs_up,Hello! How can I help you with change management today?
2025-11-23 20:40:36,thumbs_up,Hello! How can I assist you today with change management?
2025-11-23 20:40:38,thumbs_up,"I apologize, but I do not have information about the capital of Mars in my knowledge base. My purpos"
2025-11-23 21:04:07,thumbs_down,"I apologize, but I do not have information about the capital of Mars in my current knowledge base. I"
2025-11-23 21:17:38,thumbs_down,"I apologize, but I do not have information about the capital of Mars in my current knowledge base. I"
2025-11-23 21:19:53,thumbs_down,"I apologize, but I do not have information about the location of Kerala in my current knowledge base"
2025-11-23 21:25:46,thumbs_down,"I apologize, but I do not have information about the capital of Mars in my knowledge base. My purpos"
